restaurant_id,names,restaurant_type,address,num_of_reviews,rating,zip_code,lati,longi
B87c3bE_u53yNYO1cmHSIw,Flor de Mayo,chinese,2651 Broadway,600,4,10025,40.797859,-73.969948
6dVXDdgzDEVt4DvHzpWo9w,Tang Pavilion,chinese,65 W 55th St,320,3.5,10019,40.762849,-73.977189
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,chinese,146 E 55th St,341,3.5,10022,40.75925147,-73.96942947
B7bxdtvLYR7Nmex4AIFd4w,RedFarm,chinese,2170 Broadway,664,3.5,10024,40.782051,-73.980415
rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,chinese,110 E 7th St,351,4,10009,40.72634,-73.98478
UaQF4mv6hVjiegkwUvQeMQ,Dim Sum Chelsea,chinese,236 8th Ave,116,4.5,10011,40.744624,-73.998649
2J3--ZI6CcoYLWSYYVdt7Q,Milu,chinese,333 Park Ave S,134,4.5,10010,40.741084,-73.985324
6zM0c7vvoddgza_qvKkATw,Golden Unicorn,chinese,18 E Broadway,1887,3.5,10002,40.71367705,-73.99716336
croh2zWlbPyCQTNS11klcg,China River 川聚院,chinese,258 W 44th St,233,4,10036,40.75817112,-73.9883149
2eR8ftw-GiTEwg3Y7Rm-MA,Mimi Cheng's Dumplings,chinese,179 2nd Ave,686,3.5,10003,40.7305254,-73.986285
XfHgiIsoo1Pr_v04bx9ptg,Sushumai Asian Fusion,chinese,112 Stanton St,223,4.5,10002,40.72116107,-73.98728661
dpCSDy9uefOEcY44FHss2Q,Hyo Dong Gak,chinese,51 W 35th St,422,3.5,10001,40.7501219,-73.9862269
jWuUibgnTGsJibOrr6UUSw,Haidilao Hotpot Flushing,chinese,138-23 39th Ave,1598,5,11354,40.76099,-73.827853
kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao,chinese,39-16 Prince St,3984,4,11354,40.75924,-73.8326
fWX7sIzv_WTgZXdSwxYBPg,Yong Kang Street,chinese,888 6th Ave,137,4,10001,40.748187,-73.988737
SMImQM_JfZkIZwflTgOAoQ,Yi Ji Shi Mo Noodle Corp,chinese,88 Elizabeth St,200,4.5,10013,40.71824,-73.99583
RTFIMX31BPeZzx7kJJ1SCA,RedFarm,chinese,529 Hudson St,698,3.5,10014,40.7342,-74.00652
U74_3F7r3tMhd6dmTmDBxQ,Macao Trading Company,chinese,311 Church St,789,4,10013,40.719623,-74.003904
Ej-hrhc8HFWfijN4X5akOg,Dim Sum Palace,chinese,33 W 33rd St,149,4,10001,40.74864981,-73.98684828
RkcQl4uEJWblWf4xX8ssqQ,Wa Jeal Sichuan Chili House,chinese,1588 2nd Ave,422,3.5,10028,40.77536,-73.95317
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,chinese,191 Grand St,458,4,11211,40.71442,-73.960441
Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,chinese,112 1st Ave,235,4,10009,40.72669,-73.98563
6kCo3xb87Sc3Aa5ZSWzNnw,Kung Fu Kitchen,chinese,610 8th Ave,438,3.5,10018,40.75556542,-73.99076544
kWJF8L1u5jdlkLBItUu16w,Bo Ky Restaurant,chinese,80 Bayard St,825,3.5,10013,40.71579,-73.99867
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,chinese,920 Amsterdam Ave,247,4.5,10025,40.80006,-73.96639
fa5a7jksUak7yleWLWMigg,Joe’s Steam Rice Roll,chinese,261 Canal St,378,4,10013,40.71901945,-74.0008207
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,chinese,65 Bayard St,433,4,10013,40.71543371,-73.99811864
3oB2_2vpeIyxJt1GvlcZBA,Baodega,chinese,7 W 20th St,226,4,10011,40.74014,-73.99178
JaKLZrh1Y_2qB_0Gc3bk3A,Ollie's Sichuan,chinese,411 W 42nd St,549,3.5,10036,40.75884,-73.99319
1Duix1fA6zcJGdYAmBPkmw,Dumpling Man,chinese,100 Saint Marks Pl,851,3.5,10009,40.727171,-73.9847508
EFihj7vsRRXiF5la-UURyw,Hop Kee,chinese,21 Mott St,825,3.5,10013,40.714458,-73.998889
UiBQ8Uyu4wfOtEM1Rr8ycA,Shanghai Asian Cuisine,chinese,14A Elizabeth St,549,4,10013,40.7159077,-73.997383
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,chinese,1049 2nd Ave,260,3.5,10022,40.75831,-73.96636
f_vDVYSk-VUnlGTvgtBwkQ,Noodlecraft,chinese,10-39 47th Rd,77,4.5,11101,40.74471,-73.95182
XkL6fOBtaIqVCMXVCY9row,H K Wonton Garden,chinese,79 Mulberry St,759,3.5,10013,40.71642137,-73.9991615
Qgv2vyUV-DwK8YwrhU-jtw,Lan Sheng Restaurant,chinese,128 W 36th St,189,4,10018,40.75171419,-73.98836034
kNOr6_g6QfBHdhf89j3g5w,Taiwan Pork Chop House,chinese,3 Doyers St,533,4,10013,40.71424,-73.99799
QaolMEijS7L6eodSneOdng,Tri Dim West,chinese,467 Columbus Ave,162,4,10024,40.78412,-73.97368
A0saPXtRGKl-SVJGQyQAOw,Brooklyn Chop House,chinese,150 Nassau St,759,4,10038,40.7115099,-74.00597
ovOupYdkZOWUeDMOdt--ng,China North Dumpling,chinese,27 Essex St,337,4,10002,40.7158,-73.9898
g_5V15Xp1OvB1QXuGMstYA,Chef Yu,chinese,520 8th Ave,596,3,10018,40.75352133,-73.99226033
R8V6kbUtyfPAwNNu46vMvg,Tonii’s Fresh Rice Noodle,chinese,83 Bayard St,210,4.5,10013,40.715608,-73.998949
91rrB0aH3caC70oCkxAynA,Deluxe Green Bo,chinese,66 Bayard St,711,3.5,10013,40.71554022,-73.99816459
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,chinese,228 Thompson St,279,4,10012,40.72929,-73.99882
vQe7_ZW_jBSWKtgSiXGIOA,Soup Dumpling Plus,chinese,1550 Lemoine Ave,1077,4.5,7024,40.84757,-73.9706099
C3tP0fNNAoxOAC3O406CXQ,Le Sia,chinese,651 9th Ave,85,4.5,10036,40.76072,-73.99119
Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,chinese,242 W 56th St,98,4,10019,40.76572,-73.98286
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,chinese,108 W 14th St,361,4,10011,40.73772135,-73.99741485
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,chinese,163 Bleecker St,492,4,10012,40.728806,-73.999947
zYoL-o9YJpGTwJ-Gmj8AFA,Jue Lan Club,chinese,49 W 20th St,630,3.5,10011,40.7409694,-73.9934031
Nt3Y26a6OMtdBe8xMMJjqQ,Mee Noodle Shop & Grill,chinese,930 2nd Ave,308,3.5,10022,40.754463,-73.968518
vgG8hgJbPLKfx-n9TYqCDw,Ling Kee Beef Jerky,chinese,42 Canal St,182,4.5,10002,40.71466,-73.99148
Sj2StOWkhHIPE6_sS5RMCQ,Evergreen On 38,chinese,10 E 38th St,276,3.5,10016,40.75041,-73.98199
RoXFN-T1s6moM5smbY_5Gw,Mee Noodle Shop,chinese,795 9th Ave,534,3,10019,40.7653751,-73.9879042
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,chinese,42 E Broadway,362,4,10002,40.7137,-73.99598
SMrj71bWo1lomSbU8wXgyw,The Dolar Shop,chinese,55 3rd Ave,124,4.5,10003,40.731032,-73.988569
EN9_LsFpY44Hkzcnu0jfIg,Dynasty Dim Sum,chinese,381 3rd Ave,191,4,10016,40.74148,-73.98087
9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,chinese,58 Henry St,195,4.5,10002,40.7127362,-73.99507646
iKW9zBGWfE9CM6MfK0UtjA,Fong On,chinese,81 Division St,195,4.5,10002,40.71417,-73.9937
RoqLH-4rDugHlduthnZggg,Flame Hibachi,chinese,381 3rd Ave,164,4,10016,40.74152,-73.98097
gxvwxZWWSKNFMsVr10YAQg,Drunken Dumpling,chinese,137 1st Ave,424,3.5,10003,40.727959,-73.985278
bGOZTD9O00OkVA1Pkt3OuQ,A A Jing,chinese,689 9th Ave,292,3.5,10036,40.762,-73.99041
v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,chinese,30 W 32nd St,584,3,10001,40.747612,-73.98715973
yj9vVa08ABH6BBOLHMfJag,Bund On Broadway,chinese,25-08 Broadway,262,4,11106,40.76315789,-73.9282292
62Kedrco374IuZ_OFb0BxA,3 Times,chinese,818 Broadway,185,4,10003,40.73285,-73.99104
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,chinese,155 E 55th St,309,3,10022,40.75945,-73.96907
kXYTWVIPTnCukSo2jfxZ8A,East River Eatery,chinese,408 E 64th St,46,4.5,10065,40.762351,-73.959067
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,chinese,37 W 43rd,1678,4,10036,40.755136,-73.982194
pb_cHcy8D8UC-jQ-Q524ug,Som Bo,chinese,143 8th Ave,250,4,10011,40.74192,-74.00136
m2_ZNFos5ugAwe8ft8eaEw,Eim Khao Mun Kai Elmhurst,chinese,81-32 Broadway,493,4,11373,40.74294141,-73.88327334
NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,chinese,3600 Broadway,991,4,10031,40.828384,-73.948674
mDajKjZjRN4tVGEJFOgF9w,Wok 88,chinese,1570 3rd Ave,307,3.5,10128,40.78042,-73.95322
lKxmH-hQ6ezKbq4URKrd-Q,May Wah Fast Food,chinese,190 Hester St,380,4,10013,40.71825,-73.99842
EZo6MdrZ_EH_MzUl93xkyA,Junzi Kitchen,chinese,170 Bleecker St,183,4,10012,40.72878,-74.00061
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,chinese,239 W 105th St,345,4,10025,40.80053,-73.967586
w3wKbjuNCZnYoPOr-FCk5w,New Moon,chinese,547 2nd Ave,187,4,10016,40.742569,-73.977856
spJTHaNjEzKwoEiYWR1ggA,Ping's Seafood,chinese,22 Mott St,713,3.5,10013,40.714442,-73.998636
0WDHtP31HeVY0LP8INiFzQ,Rice Noodle Cart,chinese,153 Centre St,158,4.5,10013,40.717931,-74.000283
mIbmzqQ473BUF8cngXXs_Q,Joy Love Club,chinese,232 8th Ave,68,4.5,10011,40.7444,-73.99891
MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,chinese,177 Prince St,400,4,10012,40.72645223,-74.00179733
MMotl_bi3-5JRra91A2jLA,Satay Malaysian Cuisine,chinese,99 Washington St,563,4,7030,40.73731,-74.03066
s25mujxKWphsyFm0Ji1xYA,Mr Chow,chinese,324 E 57th St,393,3,10022,40.7588502,-73.96433763
nBm-zxAWg_oA8JNtHxPvcw,Di Di Dumpling,chinese,38 Lexington Ave,208,4,10010,40.74017,-73.98452
Jy7htqnnxlKB2vZO42_-aw,Ding Asian Szechuan Hot Pot Restaurant,chinese,234 W 48th St,193,3.5,10036,40.76064,-73.98635
nAcVK-Y1_ojsRF_04o-x-A,Yin Ji Chang Fen Rice Roll,chinese,91 Bayard St,290,4,10013,40.71583,-73.999336
nzqNfNXjtB6bxp-UN7xXkA,Bao Bao Cafe,chinese,214 W 39th Street Retail 101,54,4.5,10018,40.75432,-73.989333
lgHmMRBaU-48kGaNz3jYxg,Chairman Sun 国色天湘,chinese,47-30 Vernon Blvd,214,3.5,11101,40.74465,-73.95375
AfF4zVbVI27zwgkzOLYDFg,Xi'an Famous Foods,chinese,648 Manhattan Ave,236,4,11222,40.72433017,-73.95092994
6wJOojpF2c4lLeBNbTBB0A,Baoburg,chinese,614 Manhattan Ave,278,4,11222,40.72349293,-73.95033219
vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,chinese,20 Skillman Ave,357,4,11211,40.71512,-73.95097
bDsXyYwzk4I9_7l51D_gaA,Cafe Evergreen,chinese,1367 1st Ave,194,3.5,10021,40.76891,-73.9556
sQw7aEos_0FmO0UFtrJokg,Clay Pot - West Village,chinese,270 Bleeker St,115,4.5,10014,40.73138,-74.00319
84zvcPTAVCsSVtzCUtSDtA,Cha Chan Tang 茶餐廳,chinese,43 Mott St,1087,3,10013,40.7152778,-73.99889091
lRSiXYB09Z5x1iINqQ7rHA,Dim Sum Go Go,chinese,5 E Broadway,868,3.5,10038,40.71324157,-73.99773194
7hyQqnnAisSL-nfIWCPziQ,Chop Shop,chinese,254 10th Ave,253,3.5,10001,40.7486687,-74.0031128
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,chinese,229 9th Ave,467,3.5,10001,40.747413,-74.001052
cn3JXMq29UfRkFCUD0Bhbw,Fried Dumpling,chinese,106 Mosco St,558,3.5,10013,40.7145984,-73.9993465
6OWMji5GiqRlRPZSb1lJ4A,Fay Da Bakery,chinese,321 W 6th Ave,239,4,10012,40.73115,-74.00176
14HOGDBDgb-LmXrDAxGz9Q,Mango Mango,chinese,47 43 Vernon Blvd,45,4.5,11101,40.74421,-73.95328
6YehBdKHcLDsvaewhcEjFQ,Hey Yuet,chinese,251 W 26th St,44,5,10001,40.74703,-73.99645
95bPhynOQ4bHoUqJJv6UEQ,Crop Circle,chinese,126 MacDougal St,92,4.5,10012,40.73003,-74.00034
xLJnT-pB4VECJzmUf1Whpg,3 Times,chinese,90 Clinton St,168,4.5,10002,40.718271,-73.985209
pPqEu60FMffpiWqk2MCrVA,Hutaoli Music Restaurant & Bar,chinese,42 W 33rd St,126,4,10001,40.748413,-73.9871229
XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,chinese,16 W 8th St,232,4,10011,40.73264,-73.99752
6NfeqE-5OBXfGBXhr4PJVg,The Dolar Shop,chinese,36-36 Prince St,929,4.5,11354,40.761057,-73.83306
sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,chinese,19 St Marks Pl,131,4,10003,40.72925,-73.9886
WIj12zDqIbBucW1hXYhrew,King's Kitchen,chinese,92 E Broadway,293,4,10002,40.71399,-73.99367
bB3mkNsEkIpkwuaKSKxSfw,Tofubox,chinese,632 Grand St,101,5,11211,40.71125,-73.9468
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,chinese,1388 2nd Ave,115,4,10021,40.768291,-73.958381
56rTisZA_iEekMsyZHvSHQ,MomenTea Kitchen,chinese,213 W 40th St,84,4,10018,40.75516287,-73.98855999
LpSjWO4ZU6rbxGUetRp1mA,King Dumplings,chinese,74 Hester St,166,4.5,10002,40.71605,-73.99169
za9mYaRVWkwKkQfjRgvU0g,Taiwan Bear House,chinese,11 Pell St,332,4,10013,40.71471852,-73.99779662
Cd11Q5nxqthvg5xQx2SW2g,Tasty Dumpling,chinese,42 Mulberry St,532,3.5,10013,40.71492871,-73.99954095
KBZQN540Xz6LbXLRVOMc0w,Hunan Delight,chinese,1467 York Ave,192,3.5,10075,40.770678,-73.951296
6LfskUyZzmcDSV6h5kOwGw,Peking Duck House,chinese,28 Mott St,909,3.5,10013,40.71461,-73.99871
wdGMVLUzocmnl2tST0lheg,YunShang Rice Noodle House,chinese,53 Bayard St,243,4,10013,40.71525,-73.99765
L9SuMN3UsGipopWOe3pr9w,Chiko,chinese,954 Manhattan Ave,43,5,11222,40.7319,-73.95422
S-aX_Pz8F7nDL6kRThKcHw,Vanessa's Dumpling House,chinese,310 Bedford Ave,559,3.5,11211,40.713795,-73.961983
xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,chinese,148 Lawrence St,787,3.5,11201,40.69182064,-73.98639924
SBJHGtqJyfaU47NPjGAU6A,China Jade,chinese,1643 2nd Ave,190,3.5,10028,40.777392,-73.952329
rkeH5HJIuX7ZcOaYNum9xA,Wu's Wonton King,chinese,165 E Broadway,378,3.5,10002,40.71394155,-73.98993866
RoPrfBqmRTqw_cBqcWAfYA,Dim Sum Bar,chinese,167 Grand St,229,4,11249,40.714735,-73.961346
3K7Kc82bhU6-qjAjsBs3Fw,Lao Bei Fang Dumpling House,chinese,8305 Broadway,596,4,11373,40.74111,-73.87977
c1HgKFOT4Cc7TqWQD5mQBQ,Cheong Fun Cart,chinese,159 Hester St.,101,4.5,10013,40.71762798,-73.99637369
lgS9lE0Y9FhzT68zCj5QCw,Hunan Bistro,chinese,96 3rd Ave,229,3.5,10003,40.73234,-73.9881
I_Va7AZSHpEwX75S-3hHLQ,Noodle Fun,chinese,1744 1st Ave,159,4,10128,40.77953339,-73.94703674
agCuWjaUJ8xBO_PDDQRiGw,S Wan Cafe 洋紫荆,chinese,85 Eldridge St Lower E,142,4.5,10002,40.71725,-73.99254
dv-RaOwKFizDe4c5-sVJ5w,Peking BBQ,chinese,58-11 Woodside Ave,268,4,11377,40.7457277,-73.9062112
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,chinese,47 W 39th St,65,4,10018,40.75266,-73.98459
7erFgHiQmw7ZJfVPmOjeeA,M Shanghai Bistro & Garden,chinese,292 Grand St,442,3.5,11211,40.71293,-73.95757
rGmGim1ZDCxnF8n4NiKrYQ,Vegetarian Dim Sum House,chinese,24 Pell St,568,3.5,10013,40.715023,-73.998161
xK8VkEUjAdfrtUBHhvs4Ww,456 New Shanghai,chinese,69 Mott St,592,3.5,10013,40.71627,-73.99822
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,chinese,16 Mott St,333,4,10013,40.71426,-73.99849
